RAW_VALUE,CORRECTED_VALUE
DIVORCEX,DIVORCED
DIVORCEY,DIVORCED
DIVORCEZ,DIVORCED
DIVORCXD,DIVORCED
DIVORCYD,DIVORCED
DIVORCZD,DIVORCED
DIVORXED,DIVORCED
DIVORYED,DIVORCED
DIVORZED,DIVORCED
DIVOXCED,DIVORCED
DIVOYCED,DIVORCED
DIVOZCED,DIVORCED
DIVXRCED,DIVORCED
DIVYRCED,DIVORCED
DIVZRCED,DIVORCED
DIXORCED,DIVORCED
DIYORCED,DIVORCED
DIZORCED,DIVORCED
DXVORCED,DIVORCED
DYVORCED,DIVORCED
DZVORCED,DIVORCED
MARRIEX,MARRIED
MARRIEY,MARRIED
MARRIEZ,MARRIED
MARRIXD,MARRIED
MARRIYD,MARRIED
MARRIZD,MARRIED
MARRXED,MARRIED
MARRYED,MARRIED
MARRZED,MARRIED
MARXIED,MARRIED
MARYIED,MARRIED
MARZIED,MARRIED
MAXRIED,MARRIED
MAYRIED,MARRIED
MAZRIED,MARRIED
MXRRIED,MARRIED
MYRRIED,MARRIED
MZRRIED,MARRIED
SINGLX,SINGLE
SINGLY,SINGLE
SINGLZ,SINGLE
SINGXE,SINGLE
SINGYE,SINGLE
SINGZE,SINGLE
SINXLE,SINGLE
SINYLE,SINGLE
SINZLE,SINGLE
SIXGLE,SINGLE
SIYGLE,SINGLE
SIZGLE,SINGLE
SXNGLE,SINGLE
SYNGLE,SINGLE
SZNGLE,SINGLE
WIDOWEX,WIDOWED
WIDOWEY,WIDOWED
WIDOWEZ,WIDOWED
WIDOWXD,WIDOWED
WIDOWYD,WIDOWED
WIDOWZD,WIDOWED
WIDOXED,WIDOWED
WIDOYED,WIDOWED
WIDOZED,WIDOWED
WIDXWED,WIDOWED
WIDYWED,WIDOWED
WIDZWED,WIDOWED
WIXOWED,WIDOWED
WIYOWED,WIDOWED
WIZOWED,WIDOWED
WXDOWED,WIDOWED
WYDOWED,WIDOWED
WZDOWED,WIDOWED
XARRIED,MARRIED
XIDOWED,WIDOWED
XINGLE,SINGLE
XIVORCED,DIVORCED
YARRIED,MARRIED
YIDOWED,WIDOWED
YINGLE,SINGLE
YIVORCED,DIVORCED
ZARRIED,MARRIED
ZIDOWED,WIDOWED
ZINGLE,SINGLE
ZIVORCED,DIVORCED
