raw_status,standard_status
Rejeczed,REJECTED
Rxjected,REJECTED
Rejectyd,REJECTED
Rejectez,REJECTED
Rejectex,REJECTED
Rexected,REJECTED
Rejeyted,REJECTED
Rejycted,REJECTED
Rejxcted,REJECTED
Rejezted,REJECTED
Rejzcted,REJECTED
Rejecxed,REJECTED
Reyected,REJECTED
Ryjected,REJECTED
Rejexted,REJECTED
Rejectey,REJECTED
Rejectzd,REJECTED
Rejectxd,REJECTED
Rejecyed,REJECTED
Rejected,REJECTED
xejected,REJECTED
yejected,REJECTED
zejected,REJECTED
Rzjected,REJECTED
Cancelzed,CANCELLED
Cazcelled,CANCELLED
Caycelled,CANCELLED
Cancellyd,CANCELLED
Cancelyed,CANCELLED
Cancexled,CANCELLED
Canzelled,CANCELLED
Cancelley,CANCELLED
Canceyled,CANCELLED
Cancylled,CANCELLED
Canyelled,CANCELLED
Canxelled,CANCELLED
Cancellxd,CANCELLED
Cancxlled,CANCELLED
Czncelled,CANCELLED
Cancellex,CANCELLED
Cancezled,CANCELLED
Cancelxed,CANCELLED
Cxncelled,CANCELLED
Cyncelled,CANCELLED
Canczlled,CANCELLED
Cancellez,CANCELLED
Cancelled,CANCELLED
xancelled,CANCELLED
yancelled,CANCELLED
Lazsed,LAPSED
xapsed,LAPSED
Lapszd,LAPSED
Lypsed,LAPSED
Lapzed,LAPSED
Lapxed,LAPSED
Laxsed,LAPSED
Lapsex,LAPSED
Laysed,LAPSED
yapsed,LAPSED
Lapsey,LAPSED
Lapyed,LAPSED
Lapsed,LAPSED
Lapsxd,LAPSED
Lapsyd,LAPSED
Lapsez,LAPSED
Lzpsed,LAPSED
Lxpsed,LAPSED
zapsed,LAPSED
Aztve,ACTIVE
Aczive,ACTIVE
Aztive,ACTIVE
Activx,ACTIVE
Acxve,ACTIVE
Activy,ACTIVE
Acyive,ACTIVE
Actze,ACTIVE
yctive,ACTIVE
xctve,ACTIVE
Aczve,ACTIVE
yctve,ACTIVE
Active,ACTIVE
Actyve,ACTIVE
Actvz,ACTIVE
Actve,ACTIVE
Actvx,ACTIVE
Actxve,ACTIVE
Aytve,ACTIVE
Activz,ACTIVE
Actvy,ACTIVE
Axtive,ACTIVE
Acxive,ACTIVE
Actxe,ACTIVE
Acyve,ACTIVE
zctive,ACTIVE
Actize,ACTIVE
zctve,ACTIVE
Aytive,ACTIVE
Actiye,ACTIVE
Actye,ACTIVE
Axtve,ACTIVE
Actixe,ACTIVE
Actzve,ACTIVE
Lead,LEAD
NULL,UNKNOWN
